,timestamp,caption,like_count,comments_count,media_type,media_product_type,media_url,permalink,id,comments.data,thumbnail_url,date,year,month,week_of_year,day_of_week,time,hour
0,2022-12-30 02:05:19+00:00,💛 ,30,0,CAROUSEL_ALBUM,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/322778200_3359512214268300_8037939719050379800_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=ufWpuEajkfcAX8VRx99&_nc_oc=AQnMwYgdVNWdFUZlU8ExJKqi0RvQkhMR3M9dE0ckc7Y8fRfKXmWg4Em48WwptGMeaT4-ySscV1qFImp3oe6PZy2d&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDiTBBEdFcujzku_o3pvHLtFAOhcekVRjennaNeqhPVSw&oe=63ED3330,https://www.instagram.com/p/CmxlFotJyli/,18336168253034275,,,2022-12-30,2022,12,52,4,02:05:19,2
1,2022-12-27 20:48:37+00:00,power come responsibility  fitness space  people get excite ai analyze movement  excite use ai help people adopt healthier lifestyle  generally know important exercise  challenge  netflix youtube recommend content youll find interest  health app recommend health practice youll adopt improve health long term  recommendation likely need account adapt preference  personality    life stage  also must right level difficulty  challenge  youll get discourage give  easy  might get much benefit lose motivation  application ai excite  <Handle> ,5,2,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/321958621_579630850642218_1418582233562155559_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=XGI3z-4vVzIAX_YDyBN&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDtdh8ZRrtaHfsV98x2pD1RkjiqjqXZdBmLmOp1WMyAHw&oe=63EC8AFC,https://www.instagram.com/p/Cmr3QXSSDdE/,18033248329425680,"[{'timestamp': '2022-12-27T21:04:59+0000', 'text': '🙌', 'username': 'aiforgood_foundation', 'like_count': 0, 'id': '17959095329223682'}, {'timestamp': '2022-12-27T20:52:10+0000', 'text': 'PROMOTE IT ON @CANADIAN.COMMUNITY', 'username': 'videocou12', 'like_count': 0, 'id': '17881600202728388'}]",,2022-12-27,2022,12,52,1,20:48:37,20
2,2022-12-27 03:31:51+00:00,podcast fee mostly fill podcast data science  health  fitness  hide brain podcast one people industry find interest  recent episode feature scientist science communicator katy milkman  ’ time new year  since discus strategy follow goal  ,5,1,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/321834739_563499202294809_1673127779555148359_n.jpg?_nc_cat=107&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=_G11jtXHQsgAX-qwE_c&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfA_uJYhVwY3bgar0TA32n8NgXsB3KDbMD2GmA0--1-kBA&oe=63ECDD62,https://www.instagram.com/p/CmqAm0tL1u1/,17980063225869664,"[{'timestamp': '2022-12-28T16:45:59+0000', 'text': 'I’ll have to check this out! Thank you', 'username': 'monikafronc_pilatesportal.ca', 'like_count': 0, 'id': '17923241108530404'}]",,2022-12-27,2022,12,52,1,03:31:51,3
3,2022-12-22 19:35:45+00:00,here link super data science podcast discus essential fo data visualization storytelling   ,4,0,CAROUSEL_ALBUM,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/320716792_636088561600429_2604632901986035763_n.jpg?_nc_cat=102&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=JxasvlqlujYAX8KCr_z&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBiX89UnhqXxDoizmVpMYhB-K3LtSW_b8olj8y3KjscfA&oe=63EC5DC8,https://www.instagram.com/p/Cme28PFuJ57/,17926236674624239,,,2022-12-22,2022,12,51,3,19:35:45,19
4,2022-12-21 22:44:24+00:00,neighbor house long sharp icicle hang along roof edge  none house saw  get think importance good design  would want walk one vanish dagger drop  see similar icicle  drop photo comment  ,11,5,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/320784492_554115546262234_5811064999706762572_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=jIzaaq9ICbMAX-F9Hh-&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBaJe1l9p8mMGJkUksOeGMAr-gYyX2U6pfcOqqj2jrHVg&oe=63ED9A47,https://www.instagram.com/p/CmcnvFpOYeN/,17939812733373203,"[{'timestamp': '2022-12-24T20:57:54+0000', 'text': ""I took a house building course a few years ago and learned that many builders (by design or error) don't extend the ice shield far enough in.  It leads to icicles and, worse, ice dams that can damage roofs and cause water intrusion.  They're so pretty, though!"", 'username': 'familysleep.ca', 'like_count': 0, 'replies': {'data': [{'timestamp': '2022-12-24T22:47:33+0000', 'text': '@familysleep.ca , That’s too bad that this is still an issue. I saw a building downtown that had that issue as well.', 'username': 'silvialiftsweights', 'like_count': 0, 'id': '17926692215629025'}]}, 'id': '18159235279278873'}, {'timestamp': '2022-12-21T22:50:35+0000', 'text': 'They need better insulation!', 'username': 'pomopaleo', 'like_count': 1, 'replies': {'data': [{'timestamp': '2022-12-21T23:17:20+0000', 'text': '@pomopaleo , I figured there was a reason that I just didn’t understand ha ha', 'username': 'silvialiftsweights', 'like_count': 1, 'id': '17970447049881743'}]}, 'id': '17930607224498564'}, {'timestamp': '2022-12-21T22:50:22+0000', 'text': 'Promote it on @toronto_successlyf 🇨🇦', 'username': 'montp126', 'like_count': 0, 'id': '17952507461190892'}]",,2022-12-21,2022,12,51,2,22:44:24,22
5,2022-12-20 00:21:15+00:00,already apps personal trainer  create goal specific exercise program  provide exercise demo  even check form  put trainer work   ’  <Number>  main challenge fitness relate get people adopt resistance train continue long term  simply know  good trainer ’ check form  help people thing align motivation ability  <Number>  even computer vision become advance enough distinguish subtle difference exercise technique  difference muscle activation pattern  make difference pain  pain  always see  even expert coach  good movement coach know right question cue use individual front  happen ai based fitness product   allow people exercise smarter   weed low quality exercise professional force remain one standard   make easier exerciser fitness professional make data informed decision easier data track visualization  think  ,17,0,VIDEO,FEED,https://video.cdninstagram.com/v/t50.16885-16/321108865_1353501322055256_5981907495892703203_n.mp4?_nc_cat=108&vs=699350655056538_1292635174&_nc_vs=HBksFQAYJEdJRzdJeE5ZRG9HVkFNOEVBT05YN29zc0FRUlRidlZCQUFBRhUAAsgBABUAGCRHTTR2SkJQWERvOTl1WkFBQUxONmJ2b1lveklzYnZWQkFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbqzsaq3vXrPxUCKAJDMywXQFRx64UeuFIYEmRhc2hfYmFzZWxpbmVfMV92MREAdewHAA%3D%3D&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjEyODAuaWd0diJ9&_nc_ohc=9suKUnTlsdcAX-kp1Cn&_nc_ht=video.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBAb9FiJz91FRKUYYhTkZtBMmtNi38XkAyLXtPpoeh1aA&oe=63E8C7EE&_nc_rid=04841431cb,https://www.instagram.com/tv/CmXpML9ARCb/,17956519238480356,,https://scontent.cdninstagram.com/v/t51.29350-15/321072428_5156993421067071_8697996024193895709_n.jpg?_nc_cat=110&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=bRwhYh0svV0AX9aFin_&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfDQsOX-udBxLwlg4oah2zNGU-nHWix3apSl-D04cSZEgQ&oe=63ECA89F,2022-12-20,2022,12,51,1,00:21:15,0
6,2022-12-19 02:31:55+00:00,<Number> get audiobook weapon math destruction cathy ’ neil join book club woman stem  discus danger artificial intelligence algorithm perpetuate social inequality  idea time would embark career would develop ai algorithm  ’ relistening book  time perspective data scientist  idea change ai reduce social inqualities  comment  ,8,4,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/320415394_685852956598533_1725904786646388979_n.jpg?_nc_cat=105&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=0fxFwKve9ooAX9AM4I0&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBTDQe7l7ypr_rH0NNXsFRGepg0jRzuk5lvzDijMNGfgg&oe=63ED35F4,https://www.instagram.com/p/CmVTY53MA-u/,18065247544353846,"[{'timestamp': '2022-12-19T05:31:59+0000', 'text': ""Thanks for sharing! I'm going to listen to it. ❤️"", 'username': 'nicogruzling', 'like_count': 1, 'id': '17999843788522715'}, {'timestamp': '2022-12-19T02:41:55+0000', 'text': ""Let's revitalize Stemminist Book Club!!!"", 'username': 'khristine.carino', 'like_count': 1, 'id': '18235685167154631'}, {'timestamp': '2022-12-19T02:41:00+0000', 'text': 'I have been wanting to read this book!', 'username': 'carmesan604', 'like_count': 0, 'replies': {'data': [{'timestamp': '2022-12-19T03:36:03+0000', 'text': '@carmesan604 , I listened to it when commuting, walking, or doing stuff around the house.', 'username': 'silvialiftsweights', 'like_count': 0, 'id': '18336079657028927'}]}, 'id': '17935123997568248'}]",,2022-12-19,2022,12,51,0,02:31:55,2
7,2022-12-17 19:54:21+00:00,walk cardio important  enough keep fit  lift weight resistance train athlete people want change appearance  help   increase strength  way  everyday activity easily le    counteract muscle imbalance  sport cardio activity    run  cycle  hike  inherently train muscle others  good resistance train program systematically target various part body help maintain good posture reduce    counteract effect age  fall  break hip  frailty  stoop posture accept inevitable  question want discus  comment topic ’ passionate  ,19,1,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/320445053_5977443735640757_7997636783581808369_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=XbTsjg2Sn8MAX8eJd_f&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBTM6zDEEh73lJO2zeIYRG3RLi7XygkjOf6GJREHChyiA&oe=63ED9902,https://www.instagram.com/p/CmSBGJ7Osyg/,18154936198280489,"[{'timestamp': '2022-12-17T20:04:46+0000', 'text': 'Promote it on🇨🇦 @vancouver.community_', 'username': 'pardeep.birt.73', 'like_count': 0, 'id': '17910317504676350'}]",,2022-12-17,2022,12,50,5,19:54:21,19
8,2022-12-13 21:48:46+00:00,finish diploma data science <Handle> excite new opportunity open tech sector  bite  master science kinesiology work kinesiologist personal trainer since <Number>  ideal next step work organization use technology product promote  large scale  health apps  gym  fitness product manufacturer  ask  connection organization open chat  ’ love learn business  even job current open  ,27,4,IMAGE,FEED,https://scontent.cdninstagram.com/v/t51.29350-15/319325862_2421265551356834_6367359979201721773_n.jpg?_nc_cat=103&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=OjnAkRCj8pIAX-XeRYS&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfAaf8F0Yvy9n5yQKSzlSDBp0rWrNj3ISb_Ia3rWmIBKMg&oe=63ED4F7D,https://www.instagram.com/p/CmH7ApNOFFc/,18156486961277780,"[{'timestamp': '2022-12-14T02:08:23+0000', 'text': '👏🎉 congratulations', 'username': 'monikafronc_pilatesportal.ca', 'like_count': 1, 'id': '17937578591394931'}, {'timestamp': '2022-12-14T01:42:56+0000', 'text': ""@silvialiftsweights if you're on LinkedIn shoot me a connect. Tech is my industry, I'd be happy to look into my network."", 'username': 'sharons.adventure', 'like_count': 0, 'replies': {'data': [{'timestamp': '2022-12-14T04:28:49+0000', 'text': '@sharons.adventure , that’d be great, thanks! Just DM’d you.', 'username': 'silvialiftsweights', 'like_count': 0, 'id': '17957704178326720'}]}, 'id': '17843772542902313'}, {'timestamp': '2022-12-13T22:04:16+0000', 'text': 'Congratulations!', 'username': 'island_12', 'like_count': 1, 'id': '17984777746705230'}]",,2022-12-13,2022,12,50,1,21:48:46,21
9,2022-09-27 21:31:17+00:00,seek way counteract sedentary lifestyle glue computer <Number> hour day next couple month  get nifty fold desk bike anf set old monitor  happy tip reduce butt soreness  😂 <Handle> #datascience #lighthouselabs ,34,6,VIDEO,REELS,https://video.cdninstagram.com/v/t50.33967-16/309160891_819547959079076_4191441832865795551_n.mp4?_nc_cat=108&vs=463201265868349_2709152492&_nc_vs=HBksFQAYJEdMdHJiUktrTVByZ1hfa0NBTl9OcmNnai1pbzZicV9FQUFBRhUAAsgBABUAGCRHR3FDY3hKZmU0ZlRldXdDQU5oQkZmU000djlzYnFfRUFBQUYVAgLIAQAoABgAGwGIB3VzZV9vaWwBMRUAACbsg4ia9LXhPxUCKAJDMywXQDbJN0vGp%2FAYEmRhc2hfYmFzZWxpbmVfMV92MREAdQAA&ccb=1-7&_nc_sid=59939d&efg=eyJ2ZW5jb2RlX3RhZyI6InZ0c192b2RfdXJsZ2VuLjcyMC5jbGlwcyJ9&_nc_ohc=oLGk46JtKIgAX-u1Dv_&_nc_ht=video.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfBd9oADyPk_INvvn3J1D9RV9dLeshlzF5XOPan02KPt-Q&oe=63E8CD69&_nc_rid=943f41cd3d,https://www.instagram.com/reel/CjBnZEDAwAk/,17972792299796698,"[{'timestamp': '2022-09-28T19:07:32+0000', 'text': 'I had an Electra cruiser bike saddle. Most comfortable bike seat everrrr', 'username': 'victoria_cubbon', 'like_count': 1, 'id': '18052054660354760'}, {'timestamp': '2022-09-27T22:44:43+0000', 'text': 'why so many kabocha?!', 'username': '_ssimpson_', 'like_count': 0, 'replies': {'data': [{'timestamp': '2022-09-28T01:23:33+0000', 'text': '@silvialiftsweights lol', 'username': '_ssimpson_', 'like_count': 0, 'id': '18005162584488406'}, {'timestamp': '2022-09-28T00:49:48+0000', 'text': '@_ssimpson_ , its my rice/bread alternative haha', 'username': 'silvialiftsweights', 'like_count': 1, 'id': '17928423323400867'}]}, 'id': '17976002959706890'}, {'timestamp': '2022-09-27T22:20:33+0000', 'text': 'To reduce butt soreness, buy @samsaracycleclub shorts. Game changer. I will never buy anything else again. (And I’m not being paid to say that. LOL)', 'username': 'jenullett', 'like_count': 1, 'replies': {'data': [{'timestamp': '2022-09-28T00:50:25+0000', 'text': '@jenullett , will keep it mind when budget allows. Thanks!', 'username': 'silvialiftsweights', 'like_count': 1, 'id': '17886531830660141'}]}, 'id': '17961862090985722'}]",https://scontent.cdninstagram.com/v/t51.29350-15/308884674_902798574017752_5798043338577639843_n.jpg?_nc_cat=109&ccb=1-7&_nc_sid=8ae9d6&_nc_ohc=JqeCJ6OK6vEAX-JT8v8&_nc_ht=scontent.cdninstagram.com&edm=AM6HXa8EAAAA&oh=00_AfC_onVgHAH86Hj97tq5GrwZsOgUYmJKxTKwxVM3iuAWxQ&oe=63EDB704,2022-09-27,2022,9,39,1,21:31:17,21
