,id
0,18324686224070369
1,18269437663142607
2,18000771625581319
3,17862580493850465
4,18072187321337751
5,17959482716249404
6,17907664067630004
7,18160646815273268
8,17905515278703237
9,18336168253034275
10,18033248329425680
11,17980063225869664
12,17926236674624239
13,17939812733373203
14,17956519238480356
15,18065247544353846
16,18154936198280489
17,18156486961277780
18,17972792299796698
19,17967592066870184
20,17959530130960346
21,18231053554181880
22,17923493357545447
23,17942058482197603
24,17857392584764032
0,17953082869885717
1,17910512354556892
2,17845097429796534
3,18304232650029843
4,17946389522033670
5,17972529973621802
6,17952416740941608
7,17947840733015468
8,17935065275262218
9,18037275298334429
10,17979148099562764
11,17898359843656148
12,17938841968973532
13,17859313904683242
14,17866350896687196
15,17927095397151820
16,17926139408133923
17,17985623290453136
18,17905661879449042
19,18010539385360360
20,17938683367880968
21,18109136365285595
22,17955998674608401
23,18148518601242451
24,17992969873413337
